Timestamp,1. What is your age range? ,2. What is your gender?  ,3. Kindly state your country,4. Have you ever used the delivery services of an e-commerce company for shipping or delivery services? ,5. Have you ever used a real-time tracking solution for your ordered lunch or breakfast/shipment/e-commerce order? ,6. How often do you utilize the services of a logistics company with a tracking feature?,7. Do you receive your orders/packages/shipments at the agreed-upon time? ,"8. On a scale of 1 to 5, how easy is it for you to track your packages / shipments (1 being very difficult, 5 being very easy) ",9. Please select the challenges you have faced while trying to track your packages  /   shipments. Select all that applies. ,"10. On a scale of 1 to 5, how satisfied are you with your current delivery tracking experience? ",11. How important is it for you to receive real-time updates on the status and location of your packages / shipment? ,"12. Would you be willing to use a feature that integrates Maps to provide real-time location updates for your packages / shipments, allowing you to visualize and track its exact location in real life?",13. Would the availability of a real-time package/goods/shipment tracking feature increase your likelihood of you ordering goods online? ,14. Is there anything you would like to share about your experiences with delivery tracking app or services?  Kindly state them below.,15. Is there any other feature you would like us to add to our real-time tracking solution? Kindly state them below.
3/20/2024 13:57:36,18-35,Female,kenya,Yes,Yes,Rarely (almost never),Yes,3,Lack of tracking information,3,Very important,Yes,Yes,no,no
3/20/2024 14:02:00,18-35,Male,Kenya,Yes,Yes,Rarely (almost never),No,3,Delayed delivery,3,Moderately important,Yes,Yes,NA,NA
3/20/2024 15:55:53,35-60,Male,Nigeria ,Yes,No,Multiple times a month,No,4,"Lack of tracking information, Limited tracking options",3,Moderately important,Yes,Yes,None,None
3/20/2024 15:58:43,35-60,Female,Nigeria,Yes,No,Rarely (almost never),Yes,2,Lack of tracking information,3,Very important,Yes,Yes,Need to be more efficient ,Exact time of delivery not just date
3/20/2024 16:02:34,18-35,Male,Canada,Yes,Yes,Multiple times a month,Yes,4,"Communication issues with carrier, Limited tracking options",4,Moderately important,Yes,No,None,Actual information regarding package delays rather than generic placeholders 
3/20/2024 16:21:23,18-35,Female,Nigeria,Yes,Yes,Rarely (almost never),Yes,4,"Limited tracking options, ",3,Very important,Yes,Yes,"One time I placed an order for my friend in Ghana, the locating the package was actually a bit difficult because the package was delivered to a different location, anyways communication took place and package got delivered.",Precision 
3/20/2024 16:31:16,18-35,Female,Nigeria ,Yes,Yes,Rarely (almost never),Yes,4,None that I can remember ,5,Extremely important,Yes,Yes,None. I had a wonderful shopping experience ,None
3/20/2024 16:32:28,18-35,Male,Nigeria ,Yes,No,Rarely (almost never),Yes,5,Lack of tracking information,5,Very important,Yes,Yes,None for now ,Nil
3/20/2024 16:40:19,18-35,Male,Nigeria ,Yes,Yes,Rarely (almost never),Yes,4,Communication issues with carrier,5,Extremely important,Yes,Yes,Non ,Nothing 
3/20/2024 16:46:00,18-35,Female,Nigeria ,No,Yes,Rarely (almost never),Yes,5,Communication issues with carrier,5,Extremely important,Yes,Yes,Nothing,No
3/20/2024 16:55:42,18-35,Female,Nigeria,Yes,Yes,Multiple times a month,Yes,3,"Lack of tracking information, Package misplacement / loss, Communication issues with carrier",3,Extremely important,Yes,Yes,Quality in delivery will definitely ensure continuous patronage and referral,Not really
3/20/2024 17:01:20,18-35,Male,Nigeria ,Yes,Yes,Rarely (almost never),Yes,5,Communication issues with carrier,4,Extremely important,Yes,Yes,It’s just trusted.,Not really 
3/20/2024 17:02:27,35-60,Male,Nigeria ,Yes,Yes,Rarely (almost never),Yes,4,"Communication issues with carrier, Limited tracking options",4,Very important,Yes,Yes,None,None
3/20/2024 17:06:39,18-35,Male,Nigeria,Yes,No,Multiple times a month,Yes,3,Delayed delivery,4,Extremely important,Yes,Yes,Nil,Nil
3/20/2024 17:09:22,18-35,Female,Nigeria ,No,No,Rarely (almost never),No,1,Communication issues with carrier,1,Slightly important,Yes,Yes,No,Just do your best 
3/20/2024 17:10:03,18-35,Female,Nigeria ,No,No,Rarely (almost never),No,4,Limited tracking options,3,Moderately important,Yes,Yes,No,Quality of the goods ordered should be maintained 
3/20/2024 17:21:14,35-60,Male,USA,Yes,Yes,Multiple times a week,Yes,5,Package misplacement / loss,5,Very important,No,No,Consider the security implications of realtime delivery ,No
3/20/2024 17:21:23,35-60,Male,Nigeria ,Yes,Yes,Rarely (almost never),Yes,4,"Lack of tracking information, Limited tracking options",3,Very important,Yes,Yes,The tracking system has not been accurate with timing of delivery due to the unpredictable traffic situation in Lagos.,Ability to incorporate traffic data.
3/20/2024 17:21:44,18-35,Female,Nigeria ,Yes,Yes,Rarely (almost never),Yes,5,Limited tracking options,4,Extremely important,Yes,Yes,None,Alerts to show where your packages are in real time 
3/20/2024 17:37:32,35-60,Female,Enugu ,Yes,No,Rarely (almost never),Yes,3,Lack of tracking information,4,Extremely important,Yes,Yes,None ,None 
3/20/2024 17:38:21,18-35,Female,Nigeria,Yes,No,Multiple times a month,No,3,"Delayed delivery, Lack of tracking information, Package misplacement / loss",3,Very important,Yes,Yes,There's always a delay in getting to my destination,Keeping
3/20/2024 18:18:13,18-35,Male,Nigeria ,Yes,No,Rarely (almost never),No,2,"Delayed delivery, Lack of tracking information, Communication issues with carrier, Limited tracking options",3,Very important,Yes,Yes,Delivery personnel are slow in delivery and nearly impossible to track.,None
3/20/2024 18:22:41,18-35,Male,Nigeria ,Yes,Yes,Rarely (almost never),Yes,3,None ,4,Very important,Yes,Yes,None. ,None
3/20/2024 18:29:02,18-35,Female,Nigeria,Yes,Yes,Rarely (almost never),Yes,1,My packages were always delivered in good time.,3,Extremely important,Yes,Yes,I've not had any challenge so far with my deliveries,Some persons complain that the for they ordered were eaten by the logistics riders. Is there to report in record time about such unethical behaviours?
3/20/2024 18:31:21,35-60,Female,Nigeria,Yes,No,Rarely (almost never),Yes,4,It wasn't difficult tracking ,4,Very important,Yes,Yes,None ,None for now 
3/20/2024 18:57:11,18-35,Female,Nigeria,Yes,No,Rarely (almost never),Yes,3,"Delayed delivery, Communication issues with carrier",3,Moderately important,Yes,Yes,No much experience ,Nothing really
3/20/2024 19:05:18,18-35,Male,Nigeria,Yes,Yes,Multiple times a week,No,3,Communication issues with carrier,3,Very important,Yes,Yes,I could see where the product is on the tracker but for days it didn't move,I just want improvements
3/20/2024 19:09:43,18-35,Female,United Kingdom,Yes,Yes,Multiple times a month,Yes,4,Delayed delivery,4,Extremely important,Yes,Yes,n/a,n/a
3/20/2024 20:04:06,18-35,Female,Nigeria,Yes,Yes,Multiple times a month,Yes,4,"Communication issues with carrier, ",4,Extremely important,Yes,Yes,Nothing ,Nothing 
3/20/2024 20:07:27,18-35,Male,Nigeria ,Yes,Yes,Multiple times a month,No,2,"Delayed delivery, Limited tracking options",2,Very important,Yes,Yes,None,Make it accurate 
3/20/2024 20:12:46,35-60,Male,Nigeria ,Yes,Yes,Rarely (almost never),Yes,3,Lack of tracking information,4,Very important,Yes,Yes,None,None
3/20/2024 20:26:12,18-35,Male,Nigeria ,Yes,No,Never,No,1,"Lack of tracking information, Communication issues with carrier",1,Extremely important,Yes,Yes,None for now,None for now
3/20/2024 20:35:37,18-35,Female,Nigeria,Yes,No,Multiple times a month,Yes,4,Lack of tracking information,4,Moderately important,Yes,Yes,Nothing ,Nothing 
3/20/2024 20:41:53,18-35,Female,Lagos ,Yes,No,Multiple times a week,Yes,3,"Delayed delivery, Communication issues with carrier, Limited tracking options",3,Extremely important,Yes,Yes,Good taking longer than stipulated time to arrive. ,No idea
3/20/2024 20:48:11,18-35,Male,Nigeria ,Yes,No,Rarely (almost never),Yes,3,Limited tracking options,3,Extremely important,Yes,Yes,No,No
3/20/2024 20:58:14,18-35,Male,Nigeria ,Yes,Yes,Multiple times a week,Yes,4,Limited tracking options,3,Very important,Yes,No,It's a bit vague..as they just tell you the general area of your package.. for example I would like to know where exactly in Lagos is my package currently at.,Option of picking your order midway if you are around the area the driver is going through 
3/20/2024 20:58:39,18-35,Male,Nigeria,Yes,Yes,Multiple times a month,Yes,4,Limited tracking options,4,Extremely important,Yes,Yes,No comment ,More tracking informations
3/20/2024 21:12:46,18-35,Female,Nigeria,Yes,Yes,Rarely (almost never),Yes,3,"Delayed delivery, Communication issues with carrier, Limited tracking options",3,Very important,Yes,Yes,No,Not really
3/20/2024 21:44:43,18-35,Male, Nigeria,Yes,Yes,Rarely (almost never),Yes,4,"Communication issues with carrier, Limited tracking options",3,Extremely important,Yes,Yes,Nil ,Nil
3/20/2024 21:52:05,18-35,Female,Nigeria,Yes,Yes,Multiple times a month,Yes,3,"Delayed delivery, Communication issues with carrier, Limited tracking options",3,Very important,Yes,No,N/A,Contact information of the carrier
3/20/2024 22:16:46,18-35,Female,Nigeria ,Yes,No,Never,No,1,Limited tracking options,5,Extremely important,Yes,Yes,I was not able to use the tracking features ,None 
3/20/2024 22:26:23,18-35,Male,Nigeria ,Yes,Yes,Rarely (almost never),Yes,3,"Lack of tracking information, Communication issues with carrier, Limited tracking options",3,Very important,Yes,Yes,I find it very effective ,Not really 
3/20/2024 22:46:41,35-60,Female,Romania,Yes,Yes,Rarely (almost never),Yes,5,"Delayed delivery, Lack of tracking information",4,Moderately important,Yes,Yes,Not really.,There isn't.
3/20/2024 22:46:59,35-60,Female,Nigeria ,Yes,Yes,Multiple times a month,Yes,4,"Lack of tracking information, Communication issues with carrier",3,Extremely important,Yes,Yes,"My experience with them is of how safe my item is, because I have this peace that my product or item is in safe hand but the price is way too high😀",None in mind now.
3/20/2024 22:48:35,18-35,Male,Ghana ,Yes,Yes,Once a week,Yes,3,"Lack of tracking information, Communication issues with carrier, Limited tracking options",4,Moderately important,Yes,Yes,"For instance, when I order something from a website, there’s a option for your location details but on the day of delivery, the courier will call again to ask for the location information again, while I have already given my location details already. ",No
3/20/2024 22:48:56,18-35,Male,United Kingdom ,Yes,Yes,Multiple times a month,Yes,3,"Delayed delivery, Package misplacement / loss, Communication issues with carrier, Limited tracking options",3,Extremely important,Yes,Yes,The ability of logistic companies and delivery organisation to provide a more precise tracking solution rather than the usual vague information presented will improve performance and service delivery. ,Visual evidence of delivery 
3/20/2024 22:58:40,35-60,Male,Nigeria,Yes,Yes,Rarely (almost never),Yes,3,"Delayed delivery, Lack of tracking information, Communication issues with carrier, Limited tracking options",3,Extremely important,Yes,Yes,Tracking system usually becomes erratic or abruptly shuts down due to network concerns. Leading to ineffective follow up on items. ,Your proposals will suffice for now if they work properly. 
3/20/2024 23:03:03,18-35,Female,Nigeria,Yes,Yes,Rarely (almost never),Yes,4,Limited tracking options,4,Extremely important,Yes,Yes,"The tracking app has minimum information about my goods. 
There was no information on the exact branch of the company where the goods arrived. ",More information on the goods and an alert to indicate it has arrived and the exact company branch where it is. 
3/20/2024 23:10:24,35-60,Male,Nigeria ,Yes,Yes,Rarely (almost never),Yes,5,Communication issues with carrier,4,Very important,Yes,Yes,I like using the delivery tracking service because it is easy and convenient ,No for now
3/20/2024 23:14:40,18-35,Female,Nigeria 🇳🇬 ,Yes,Yes,Once a week,No,4,Delayed delivery,4,Very important,Yes,Yes,No,No
3/20/2024 23:20:52,18-35,Female,Canada,Yes,Yes,Multiple times a month,Yes,4,Communication issues with carrier,4,Very important,Yes,Yes,No,No
3/20/2024 23:21:01,18-35,Male,Nigerian ,Yes,Yes,Multiple times a week,Yes,4,"Limited tracking options, ",5,Extremely important,Yes,Yes,No,No
3/20/2024 23:33:54,18-35,Female,United Kingdom,Yes,Yes,Multiple times a week,Yes,4,"Delayed delivery, Package misplacement / loss, Communication issues with carrier",4,Moderately important,Yes,Yes,Nothing ,No
3/20/2024 23:41:46,18-35,Female,United Kingdom ,Yes,Yes,Multiple times a month,Yes,4,Limited tracking options,4,Extremely important,Yes,Yes,No,No
3/20/2024 23:46:48,35-60,Female,Australia ,Yes,Yes,Once a week,No,3,"Delayed delivery, Lack of tracking information, Communication issues with carrier, Limited tracking options",3,Very important,Yes,Yes,"Sometimes when they give a delivery period, but change it without reason, it's very disruptive of plans",Being able to chat with the delivery company 
3/21/2024 0:17:47,18-35,Male,Nigeria,Yes,No,Multiple times a month,No,3,"Delayed delivery, Communication issues with carrier, Limited tracking options",3,Extremely important,Yes,Yes,Vivid knowledge of the physical condition of a he package ,Pre information incase of delivery date changes
